orgao;sigla;tipo;vinculacao;responsavel_legal;endereco;telefone;competencias;site_orgao
Advocacia-Geral do Estado;AGE;Órgão Autônomo;-;Sérgio Pessoa de Paulo Castro;Avenida Afonso Pena, Nº 4000, Cruzeiro, Belo Horizonte, 30130-009;(31) 3218 - 0700;https://www.almg.gov.br/legislacao-mineira/texto/DEC/47963/2020/?cons=1;http://advocaciageral.mg.gov.br/
Banco de Desenvolvimento de Minas Gerais S.A;BDMG;Empresa Pública;SEDE;Gabriel Viégas Neto;Rua da Bahia, 1600, Lourdes, Belo Horizonte, 30160-907;(31) 3219 8000;https://www.almg.gov.br/legislacao-mineira/LEI/9678/1988/;http://bdmg.mg.gov.br
Agência de Desenvolvimento da Região Metropolitana do Vale do Aço;ARMVA;Autarquia;SEINFRA;Christie Garcia Martins;Av. Zita Soares de Oliveira, 212, 3º andar, Centro, Ipatinga, 35160-007;(31) 2109-9350;https://www.almg.gov.br/legislacao-mineira/DEC/48159/2021/;http://www.agenciarmva.mg.gov.br
Agência Reguladora de Serviços de Abastecimento de Água e de Esgotamento Sanitário de Minas Gerais;ARASAE;Autarquia;SEMAD;Laura Mendes Serrano;2º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 8119;https://www.almg.gov.br/legislacao-mineira/DEC/47884/2020/;http://www.arsae.mg.gov.br
Companhia Energética de Minas Gerais ;CEMIG;Empresa Pública;SEDE;Reynaldo Passanezi Filho;Avenida Barbacena, 1200, Santo Agostinho, Belo Horizonte, 30190-131;(31) 3506 3711;https://www.almg.gov.br/legislacao-mineira/LEI/8655/1984/;http://www.cemig.com.br
Companhia de Desenvolvimento de Minas Gerais;CODEMGE;Empresa Pública;SEDE;Luísa Cardoso Barreto;6º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3916-8100;https://www.almg.gov.br/legislacao-mineira/LEI/22828/2018;http://www.codemge.com.br
Companhia de Habitação do Estado de Minas Gerais ;COHAB;Empresa Pública;SEDE;Márcio Almeida Bernardino;14º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 7030;https://www.almg.gov.br/legislacao-mineira/LEI/3403/1965/;http://www.cohab.mg.gov.br
Companhia de Saneamento de Minas Gerais;COPASA;Empresa Pública;SEDE;Marília Carvalho de Melo;Rua Mar de Espanha, 525, Santo Antônio, Belo Horizonte, 30270-130;(31) 3348 9600;https://www.almg.gov.br/legislacao-mineira/LEI/6084/1973/;http://www.copasa.com.br
Departamento de Estradas de Rodagem do Estado de Minas Gerais;DER;Autarquia;SEINFRA;Rodrigo Rodrigues Tavares;5º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3501-3000;https://www.almg.gov.br/legislacao-mineira/DEC/48666/2023/;http://www.der.mg.gov.br
Secretaria de Estado de Educação;SEE;Secretaria de Estado;-;Igor de Alvarenga Oliveira Icassatti Rojas;10º e 11º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;0800-9701212;https://www.almg.gov.br/legislacao-mineira/DEC/48709/2023/;http://www.educacao.mg.gov.br
Escola de Saúde Pública do Estado de Minas Gerais;ESP;Órgão Autônomo;-;Mara Guarino Tanure;Avenida Augusto de Lima, 2061, Barro Preto, Belo Horizonte, 30190-009;(31) 3295-5360;https://www.almg.gov.br/legislacao-mineira/DEC/48711/2023/;http://www.esp.mg.gov.br
Secretaria de Estado de Fazenda;SEF;Secretaria de Estado;-;Luiz Claudio Fernandes Lourenço Gomes;6º e 7º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3217 6161;https://www.almg.gov.br/legislacao-mineira/DEC/48680/2023/;http://www.fazenda.mg.gov.br
Fundação Helena Antipoff;FHA;Fundação Pública;SEE;Luciene Millo Campos;Avenida São Paulo, 3996, Vila do Rosário, Ibirité, 32415-250;(31) 3521 9501;https://www.almg.gov.br/legislacao-mineira/DEC/47906/2020/;http://www.fha.mg.gov.br
Fundação Hospitalar do Estado de Minas Gerais;FHEMIG;Fundação Pública;SES;Renata Ferreira Leles Dias;Alamêda Álvaro Celso, 100, Centro, Belo Horizonte, 30150-260;(31) 3239 9500;https://www.almg.gov.br/legislacao-mineira/DEC/49085/2025/;http://www.fhemig.mg.gov.br
Fundação João Pinheiro;FJP;Fundação Pública;SEPLAG;Luciana Lopes Nominato Braga;Alameda das Acácias, 70, Campus Pampulha, São Luiz, Belo Horizonte, 31275-150;(31) 3448-9400;https://www.almg.gov.br/legislacao-mineira/DEC/47877/2020/;http://www.fjp.mg.gov.br
Fundação Ezequiel Dias;FUNED;Fundação Pública;SES;Felipe José Fonseca Attie;Rua Conde Pereira Carneiro, 80, Gameleira, Belo Horizonte, 30510-010;0800 283 1980;https://www.almg.gov.br/legislacao-mineira/DEC/47910/2020/;http://www.funed.mg.gov.br
Gabinete Militar do Governador;GMG;Órgão Autônomo;-;Coronel Paulo Roberto Bermudes Rezende;2º andar do Palácio Tiradentes - Cidade Administrativa, Belo Horizonte;(31) 3915 2912;https://www.almg.gov.br/legislacao-mineira/DEC/49154/2025/;http://www.gabinetemilitar.mg.gov.br
Secretaria de Estado de Governo ;SEGOV;Secretaria de Estado;-;Marcelo Guilherme de Aro Ferreira;1º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 9099;https://www.almg.gov.br/legislacao-mineira/DEC/49110/2025/;http://www.governo.mg.gov.br
Fundação Centro de Hematologia e Hemoterapia do Estado de Minas Gerais;HEMOMINAS;Fundação Pública;SES;Júnia Guimarães Mourão Cioffi;Rua Grão Pará, 882, Administração Central, Funcionários, Belo Horizonte, 30150-341;(31) 3768-7450;https://www.almg.gov.br/legislacao-mineira/DEC/48023/2020/;http://www.hemominas.mg.gov.br
Instituto de Desenvolvimento do Norte e Nordeste de Minas;IDENE;Autarquia;SEDESE;Henrique Oliveira Carvalho;8º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-5209;https://www.almg.gov.br/legislacao-mineira/DEC/47834/2020/;http://www.idene.mg.gov.br
Instituto Estadual de Florestas;IEF;Autarquia;SEMAD;Breno Esteves Lasmar; 1º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 1507;https://www.almg.gov.br/legislacao-mineira/DEC/47892/2020/;http://www.ief.mg.gov.br
Instituto Mineiro de Gestão das Águas ;IGAM;Autarquia;SEMAD;Marcelo da Fonseca;1º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 1752;https://www.almg.gov.br/legislacao-mineira/DEC/47866/2020/;http://www.igam.mg.gov.br
Empresa Mineira de Comunicação;EMC;Empresa Pública;SECOM;Gustavo Mendicino de Oliveira;Rua Tenente Brito Melo, 1090, BL 01, 2º e 3º andares, Barro Preto, Belo Horizonte, 30180-074;(31) 3298 3400;https://www.almg.gov.br/legislacao-mineira/DEC/47750/2019/;http://www.inconfidencia.com.br
Secretaria de Estado de Infraestrutura, Mobilidade e Parcerias;SEINFRA;Secretaria de Estado;-;Pedro Bruno Barros de Souza;7º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 8366;https://www.almg.gov.br/legislacao-mineira/DEC/49124/2025/;http://www.infraestrutura.mg.gov.br/
Instituto de Metrologia e Qualidade do Estado de Minas GeraiS;IPEM;Autarquia;SEPLAG;Francisco José da Fonseca;Rua Cristiano França Teixeira Guimarães, 80, Cinco, Contagem, 32010-130;(31) 3399 7100;https://www.almg.gov.br/legislacao-mineira/DEC/47899/2020/;http://www.ipem.mg.gov.br
Instituto de Previdência dos Servidores do Estado de Minas Gerais;IPSEMG ;Autarquia;SEPLAG;André Luiz Moreira dos Anjos; 4º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-2617;https://www.almg.gov.br/legislacao-mineira/DEC/48823/2024/;http://www.ipsemg.mg.gov.br
Instituto de Previdência dos Servidores Militares do Estado de Minas Gerais;IPSM;Autarquia;-;Rodrigo de Faria Mendes;6º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 8050;https://www.almg.gov.br/legislacao-mineira/texto/LEI/10366/1990/?cons=1;http://www.ipsm.mg.gov.br
Junta Comercial do Estado de Minas Gerais;JUCEMG;Autarquia;SEDE;Patrícia Vinte di Iorio;Av. Augusto de Lima, 1942, Barro Preto, Belo Horizonte, 30190-008;;https://www.almg.gov.br/legislacao-mineira/DEC/47689/2019/;http://www.jucemg.mg.gov.br
Loteria do Estado de Minas Gerais;LEMG;Autarquia;SEDE;Onésimo Diniz Moreira;13º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3916 8813;https://www.almg.gov.br/legislacao-mineira/DEC/47902/2020/;http://www.loteriamineira.mg.gov.br
Secretaria de Estado de Meio Ambiente e Desenvolvimento Sustentável;SEMAD;Secretaria de Estado;-;Marília Carvalho de Melo;2º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 1752;https://www.almg.gov.br/legislacao-mineira/DEC/48706/2023/;http://www.meioambiente.mg.gov.br
Agência de Desenvolvimento da Região Metropolitana de Belo Horizonte;ARMBH;Autarquia;SEINFRA;Marcos Vinicius Mota de Meira Lopes;13º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 6983 ;https://www.almg.gov.br/legislacao-mineira/DEC/47930/2020/;http://www.metropolitana.mg.gov.br
Minas Gerais Participações S.A.;MGI;Empresa Pública;SEDE;Weverton Vilas Boas de Castro; 4º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 4878;https://www.almg.gov.br/legislacao-mineira/LEI/24313/2023/;http://www.mgipart.com.br
Minas Gerais Administração e Serviços S.A.;MGS;Empresa Pública;SEDE;Camila Barbosa Neves;Avenida Álvares Cabral, 200, 2º, 12º, 13º, 14º e 16º andares, Funcionários, Belo Horizonte, 30170-000;(31) 3239 8400;https://www.almg.gov.br/legislacao-mineira/LEI/22257/2016/;http://www.mgs.srv.br
Ouvidoria-Geral do Estado;OGE;Órgão Autônomo;-;Gabriela Câmara Campos Bernardes Siqueira; 12º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-2022;https://www.almg.gov.br/legislacao-mineira/DEC/48613/2023/;http://www.ouvidoriageral.mg.gov.br
Secretaria de Estado de Planejamento e Gestão;SEPLAG;Secretaria de Estado;-;Silvia Caroline Listgasten Dias; 2º e 3º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;;https://www.almg.gov.br/legislacao-mineira/DEC/48636/2023/;http://www.planejamento.mg.gov.br
Secretaria de Estado de Saúde;SES;Secretaria de Estado;-;Fábio Baccheretti Vitor;12º e 13º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3916 0790;https://www.almg.gov.br/legislacao-mineira/DEC/48661/2023/;http://www.saude.mg.gov.br
Secretaria- Geral;SG;Secretaria de Estado;-;Romeu Zema Neto;4º andar do Palácio Tiradentes - Cidade Administrativa, Belo Horizonte;;https://www.almg.gov.br/legislacao-mineira/DEC/48641/2023/;http://www.secretariageral.mg.gov.br/
Secretaria de Estado de Justiça e Segurança Pública;SEJUSP;Secretaria de Estado;-;Rogério Greco;3º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 3075;https://www.almg.gov.br/legislacao-mineira/DEC/48659/2023/;http://www.seguranca.mg.gov.br
Secretaria de Estado de Desenvolvimento Social;SEDESE;Secretaria de Estado;-;Alê Portela;14º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3916 8235;https://www.almg.gov.br/legislacao-mineira/DEC/48660/2023/;http://www.social.mg.gov.br
Universidade do Estado de Minas Gerais;UEMG;Autarquia;SEE;Lavínia Rosa Rodrigues;8º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3916 0471;https://www.almg.gov.br/legislacao-mineira/DEC/48746/2023/;http://www.uemg.br
Universidade Estadual de Montes Claros;UNIMONTES;Autarquia;SEE;Wagner de Paulo Santiago;Avenida Rui Braga, S/Nº, Campus Universitário, Vila Mauricéia, Montes Claros, 39401-089;(38) 3229 8101;https://www.almg.gov.br/legislacao-mineira/DEC/45799/2011/;http://www.unimontes.br
Fundação de Educação para o Trabalho de Minas Gerais;UTRAMIG;Fundação Pública;SEDESE;Paulo Henrique Azeredo Nascimento;Avenida Afonso Pena, 3400, Cruzeiro, Belo Horizonte, 30130-009;(31) 3263 7500;https://www.almg.gov.br/legislacao-mineira/DEC/47876/2020/;http://www.utramig.mg.gov.br
Fundação Estadual do Meio Ambiente ;FEAM;Fundação Pública;SEMAD;Edson de Resende Castro; 1º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915-1700;https://www.almg.gov.br/legislacao-mineira/DEC/48707/2023/;https://feam.br/
Fundação Educacional Caio Martins;FUCAM;Fundação Pública;SEE;Frederico Correa Lima de Carvalho;14º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3916-7819;https://www.almg.gov.br/legislacao-mineira/DEC/47880/2020/;https://fucam.mg.gov.br/ 
Secretaria de Estado de Comunicação Social;SECOM;Secretaria de Estado;-;Bernardo Assis Fonseca Santos;4º andar do Palácio Tiradentes - Cidade Administrativa, Belo Horizonte;;https://www.almg.gov.br/legislacao-mineira/DEC/48642/2023/;https://www.comunicacao.mg.gov.br/
Instituto de Desenvolvimento Integrado de Minas Gerais ;INVESTMINAS;Empresa Pública;SEDE;Rodrigo Tavares;8º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3916-7650;https://www.almg.gov.br/legislacao-mineira/LEI/24313/2023/;https://www.investminas.mg.gov.br
Polícia Militar de Minas Gerais ;PMMG;Órgão Autônomo;-;Coronel Carlos Frederico Otoni Garcia;6º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;3915 8050;https://www.almg.gov.br/legislacao-mineira/texto/LEI/6624/1975/?cons=1;https://www.policiamilitar.mg.gov.br/
Companhia de Tecnologia da Informação do Estado de Minas Gerais;PRODEMGE;Empresa Pública;SEPLAG;Roberto Tostes Reis;Rua da Bahia, 2.277, Savassi, Belo Horizonte, 30160-019;(31) 3339-1100;https://www.almg.gov.br/legislacao-mineira/LEI/6003/1972/#texto;https://www.prodemge.gov.br
Secretaria de Estado de Agricultura, Pecuária e Abastecimento;SEAPA;Secretaria de Estado;-;Thales Almeida Ferreira Fernandes;10º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 5233;https://www.almg.gov.br/legislacao-mineira/DEC/48679/2023/;www.agricultura.mg.gov.br
Corpo de Bombeiros Militar de Minas Gerais;CBMMG;Órgão Autônomo;-;Jordana de Oliveira Filgueiras Daldegan;5º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-7525;https://www.almg.gov.br/legislacao-mineira/DEC/40875/2000/;www.bombeiros.mg.gov.br
Secretaria de Estado de Casa Civil;SCC;Secretaria de Estado;-;Luiz Otávio de Oliveira Gonçalves;4º andar do Palácio Tiradentes - Cidade Administrativa, Belo Horizonte;;https://www.almg.gov.br/legislacao-mineira/DEC/48628/2023/;www.casacivil.mg.gov.br
Controladoria-Geral do Estado;CGE;Órgão Autônomo;-;Marcela Oliveira Ferreira Dias;12º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-2093;https://www.almg.gov.br/legislacao-mineira/texto/DEC/48687/2023/;www.cge.mg.gov.br
Secretaria de Estado de Cultura e Turismo;SECULT;Secretaria de Estado;-;Leônidas José de Oliveira;11º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 2677;https://www.almg.gov.br/legislacao-mineira/DEC/48649/2023/;www.cultura.mg.gov.br
Empresa de Assistência Técnica e Extensão Rural do Estado de Minas Gerais;EMATER;Empresa Pública;SEAPA;Otávio Martins Maia;Avenida Raja Gabaglia, 1626, Gutierrez, Belo Horizonte, 30440-452;(31) 3349 8000;https://www.almg.gov.br/legislacao-mineira/DEC/47567/2018/;www.emater.mg.gov.br
Empresa de Pesquisa Agropecuária de Minas Gerais;EPAMIG;Empresa Pública;SEAPA;Nilda de Fátima Ferreira Soares;Avenida Jose Cândido da Silveira, 1647, Cidade Nova, Belo Horizonte, 31170-000;(31) 3489 5000;https://www.almg.gov.br/legislacao-mineira/DEC/48191/2021/;www.epamig.br
Fundação de Arte de Ouro Preto;FAOP;Fundação Pública;SECULT;Wirley Rodrigues Reis;Rua Alvarenga, 794, Cabeças, Ouro Preto, 35400-000;(31) 3551 2014;https://www.almg.gov.br/legislacao-mineira/DEC/47922/2020/;www.faop.mg.gov.br
Fundação de Amparo à Pesquisa do Estado de Minas Gerais;FAPEMIG;Fundação Pública;SEDE;Carlos Alberto Arruda de Oliveira;Av. José Cândido da Silveira, 1500, Horto Florestal, Belo Horizonte, 31170-000;(31) 3280-2100;https://www.almg.gov.br/legislacao-mineira/DEC/47931/2020/;www.fapemig.br
Fundação Clóvis Salgado;FCS;Fundação Pública;SECULT;Sérgio Rodrigues Reis;Avenida Afonso Pena, 1537, Centro, Belo Horizonte, 30130-004;(31) 3236 7400;https://www.almg.gov.br/legislacao-mineira/DEC/47853/2020/;www.fcs.mg.gov.br
Fundação Instituto Estadual do Patrimônio Histórico e Artístico de Minas Gerais;IEPHA;Fundação Pública;SECULT;João Paulo Martins;Praça da Liberdade, 470, 4º andar - Prédio Verde, Funcionários, Belo Horizonte, 30140-010;(31) 3235 2800;https://www.almg.gov.br/legislacao-mineira/DEC/47921/2020/;www.iepha.mg.gov.br
Instituto Mineiro de Agropecuária;IMA;Autarquia;SEAPA;Luiza Moreira Arantes de Castro;10º andar do Edificio Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915 8682;https://www.almg.gov.br/legislacao-mineira/DEC/47859/2020/;www.ima.mg.gov.br
Polícia Civil do Estado de Minas Gerais;PCMG;Órgão Autônomo;-;Letícia Batista Gamboge Reis;4º andar do Edifício Minas - Cidade Administrativa, Belo Horizonte;(31) 3915 7392;https://www.almg.gov.br/legislacao-mineira/DEC/43852/2004/;https://www.policiacivil.mg.gov.br/
Secretaria de Estado de Desenvolvimento Econômico ;SEDE;Secretaria de Estado;-;Mila Batista Leite Corrêa da Costa;8º andar do Edifício Gerais - Cidade Administrativa, Belo Horizonte;(31) 3915-5028;https://www.almg.gov.br/legislacao-mineira/DEC/48678/2023/;https://desenvolvimento.mg.gov.br/
